CheckingAccount{accountNumber='6163', accountHolder='Holder0', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='652625', accountHolder='Holder1', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='202915', accountHolder='Holder2', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='707067', accountHolder='Holder3', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='721996', accountHolder='Holder4', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='914786', accountHolder='Holder5', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='821973', accountHolder='Holder6', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='8455', accountHolder='Holder7', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='756034', accountHolder='Holder8', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='633728', accountHolder='Holder9', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='976898', accountHolder='Holder10', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='501799', accountHolder='Holder11', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='171737', accountHolder='Holder12', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='918845', accountHolder='Holder13', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='124598', accountHolder='Holder14', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='339266', accountHolder='Holder15', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='180370', accountHolder='Holder16', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='31079', accountHolder='Holder17', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='886789', accountHolder='Holder18', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='208673', accountHolder='Holder19', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='6250', accountHolder='Holder20', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='438461', accountHolder='Holder21', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='307136', accountHolder='Holder22', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='833914', accountHolder='Holder23', balance=1000.0, overdraftLimit=500.0}
CheckingAccount{accountNumber='100896', accountHolder='Holder24', balance=1000.0, overdraftLimit=500.0}
